amplitude_induced;modulation_induced;subjects;alpha_pos;validity;pos_attended;validity_pos_attended;targ_pos;alpha_pos_targ;alpha_electrodes;time
5.35797595977783;0.414374429016462;2;alpha_contra_right_stim;valid;left;valid_left;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
4.07359218597412;0;2;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.15301609039307;0;2;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
4.11876010894775;1.1087983507321;2;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.50750112533569;6.87917578218908;2;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
4.24172163009644;4.12730181242011;2;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.18443393707275;0.609698206420517;2;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
4.16552066802979;2.25669330307989;2;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.24708461761475;1.82550424007126;2;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
4.20188474655151;3.14937172697649;2;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.26484155654907;2.17009736034952;2;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
4.09290552139282;0.474110675221717;2;alpha_contra_left_stim;valid;right;valid_right;right;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
5.29306888580322;2.71788003284641;2;alpha_contra_right_stim;valid;right;valid_right;right;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
3.8825376033783;0;2;alpha_contra_left_stim;invalid;right;invalid_right;left;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.15731906890869;0;2;alpha_contra_right_stim;invalid;right;invalid_right;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
4.02199363708496;3.59187850712175;2;alpha_contra_left_stim;invalid;right;invalid_right;left;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.65048885345459;9.56252227090257;2;alpha_contra_right_stim;invalid;right;invalid_right;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
4.10173225402832;5.64565428701316;2;alpha_contra_left_stim;invalid;right;invalid_right;left;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.29224157333374;2.61613645815399;2;alpha_contra_right_stim;invalid;right;invalid_right;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
4.2480001449585;9.41298137749398;2;alpha_contra_left_stim;invalid;right;invalid_right;left;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.18742084503174;0.583671006599484;2;alpha_contra_right_stim;invalid;right;invalid_right;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
4.33294486999512;11.6008475030586;2;alpha_contra_left_stim;invalid;right;invalid_right;left;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.21307611465454;1.08112461146694;2;alpha_contra_right_stim;invalid;right;invalid_right;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
4.03904867172241;4.03115395992384;2;alpha_contra_left_stim;invalid;right;invalid_right;left;ipsi_target;'P6','P8','P10','PO4','PO8','O2','I2';[2000 3000] 
5.19990015029907;0.825643727321124;2;alpha_contra_right_stim;invalid;right;invalid_right;left;contra_target;'P9','P7','P5','PO7','PO3','I1','O1';[2000 3000] 
4.0813364982605;0;2;alpha_contra_left_stim;invalid;left;invalid_left;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[-1000 0] 
5.281334400177;0;2;alpha_contra_right_stim;invalid;left;invalid_left;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[-1000 0] 
4.15346050262451;1.76716632884237;2;alpha_contra_left_stim;invalid;left;invalid_left;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[0 1000] 
5.46155166625977;3.41234340466539;2;alpha_contra_right_stim;invalid;left;invalid_left;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[0 1000] 
4.11277437210083;0.770283799283189;2;alpha_contra_left_stim;invalid;left;invalid_left;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[500 1500] 
5.11691331863403;-3.11324883229243;2;alpha_contra_right_stim;invalid;left;invalid_left;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[500 1500] 
3.98295760154724;-2.41045786729879;2;alpha_contra_left_stim;invalid;left;invalid_left;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1000 2000] 
5.21053981781006;-1.34046771142858;2;alpha_contra_right_stim;invalid;left;invalid_left;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1000 2000] 
4.04012870788574;-1.00966412331644;2;alpha_contra_left_stim;invalid;left;invalid_left;right;contra_target;'P6','P8','P10','PO4','PO8','O2','I2';[1500 2500] 
5.13943862915039;-2.68674089301855;2;alpha_contra_right_stim;invalid;left;invalid_left;right;ipsi_target;'P9','P7','P5','PO7','PO3','I1','O1';[1500 2500] 
